Title,Price,Rating,Past Sale,Image URL,Specifications
"SAMSUNG 14"" Galaxy Book4 Pro Laptop PC Computer, Intel Core 7 Ultra Processor 512GB, 3K AMOLED (2880 x 1800) Touchscreen, Advanced Security, 2024 Model, NP940XGK-KG1US, Moonstone Gray","$1,149.99",Rating not found,100+ bought in past month,./Amazon_laptop_files/6131ZgIFn1L._AC_UY218_.jpg,"SAMSUNG 14"" Galaxy Book4 Pro Laptop PC Computer, Intel Core 7 Ultra Processor 512GB, 3K AMOLED (2880 x 1800) Touchscreen, Advanced Security, 2024 Model, NP940XGK-KG1US, Moonstone Gray"
Lenovo Urban Laptop Sleeve 14 Inch for Laptop/ Notebook/Tablet Compatible with MacBook Air/Pro Water Resistant - Charcoal Grey,3 sizes,4.7 out of 5 stars,1K+ bought in past month,./Amazon_laptop_files/61j4ywk+3cL._AC_UY218_.jpg,Lenovo Urban Laptop Sleeve 14 Inch for Laptop/ Notebook/Tablet Compatible with MacBook Air/Pro Water Resistant - Charcoal Grey
"HP EliteBook 845 Business Laptop (14"" FHD, AMD Ryzen 5 PRO 5650U, 16GB RAM, 512GB SSD, > Intel i5-1145G7) 3-Yr Warranty, Long Battery Life, Backlit, Fingerprint, Wi-Fi 6E, Webcam, Win 11 Pro, Silver",3 capacities,Rating not found,100+ bought in past month,./Amazon_laptop_files/41hAExdqbgL._AC_UY218_.jpg,"HP EliteBook 845 Business Laptop (14"" FHD, AMD Ryzen 5 PRO 5650U, 16GB RAM, 512GB SSD, > Intel i5-1145G7) 3-Yr Warranty, Long Battery Life, Backlit, Fingerprint, Wi-Fi 6E, Webcam, Win 11 Pro, Silver"
"ASUS 2023 Vivobook Go 15 Laptop, 15.6"" FHD Display, AMD Ryzen 5 7520U Processor, 8GB RAM, 512GB SSD, Windows 11 Home, Mixed Black, E1504FA-AS52",Price not found,4.4 out of 5 stars,No featured offers available,./Amazon_laptop_files/71tj1W5NoQL._AC_UY218_.jpg,"ASUS 2023 Vivobook Go 15 Laptop, 15.6"" FHD Display, AMD Ryzen 5 7520U Processor, 8GB RAM, 512GB SSD, Windows 11 Home, Mixed Black, E1504FA-AS52"
"Dell Inspiron 15 15.6"" Laptop (FHD Touchscreen, AMD Ryzen 5 7530U, 16GB RAM, 1TB PCIe SSD, (6-Core Beat i7-1165G7)) Numeric Keypad, Webcam, 2023 Inspiron 3000 3535, Win 11 Home, Carbon Black",$559.98,4.3 out of 5 stars,Past sale not found,./Amazon_laptop_files/61BU3LU94FL._AC_UY218_.jpg,"Dell Inspiron 15 15.6"" Laptop (FHD Touchscreen, AMD Ryzen 5 7530U, 16GB RAM, 1TB PCIe SSD, (6-Core Beat i7-1165G7)) Numeric Keypad, Webcam, 2023 Inspiron 3000 3535, Win 11 Home, Carbon Black"
"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Platinum Grey",$326.99,4.3 out of 5 stars,100+ bought in past month,./Amazon_laptop_files/81M05PyYgYL._AC_UY218_.jpg,"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Platinum Grey"
"HP 15.6 inch Laptop PC, Processor: 13th Generation Intel® Core™ i7, Graphics: Intel® Iris® Xe Graphicsc, 16 GB DDR4-3200 MHz RAM, 512GB SSD, Windows 11 Home (Silver, 15-fd0099nr)",Price not found,4.4 out of 5 stars,50+ bought in past month,./Amazon_laptop_files/71cdlw1zCZL._AC_UY218_.jpg,"HP 15.6 inch Laptop PC, Processor: 13th Generation Intel® Core™ i7, Graphics: Intel® Iris® Xe Graphicsc, 16 GB DDR4-3200 MHz RAM, 512GB SSD, Windows 11 Home (Silver, 15-fd0099nr)"
"ASUS 2023 Vivobook 14 Laptop, 14” FHD (1920 x 1080) Display, Intel Core i5-1235U CPU, Intel Iris Xᵉ Graphics, 8GB RAM, 256GB SSD, Windows 11 Home, Quiet Blue, F1404ZA-AS51",Price not found,Rating not found,50+ bought in past month,./Amazon_laptop_files/71+LIOKehyL._AC_UY218_.jpg,"ASUS 2023 Vivobook 14 Laptop, 14” FHD (1920 x 1080) Display, Intel Core i5-1235U CPU, Intel Iris Xᵉ Graphics, 8GB RAM, 256GB SSD, Windows 11 Home, Quiet Blue, F1404ZA-AS51"
"HP Stream 14 inches HD (1366x768) Display, Intel Celeron N4000 Dual-Core Processor, 4GB RAM, 64GB eMMC, HDMI, WiFi, Webcam, Bluetooth, Win10 S, Royal Blue (Renewed)",Price not found,4.3 out of 5 stars,50+ bought in past month,./Amazon_laptop_files/71KPFg9m1tL._AC_UY218_.jpg,"HP Stream 14 inches HD (1366x768) Display, Intel Celeron N4000 Dual-Core Processor, 4GB RAM, 64GB eMMC, HDMI, WiFi, Webcam, Bluetooth, Win10 S, Royal Blue (Renewed)"
"HP Notebook Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Type-C, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Silver",$443.00,Rating not found,1K+ bought in past month,./Amazon_laptop_files/61oAh3XrX+L._AC_UY218_.jpg,"HP Notebook Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Type-C, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Silver"
"ZAGG Pro Keys Detachable Case and Wireless Keyboard for Apple iPad Pro 10.2"", Multi-Device Bluetooth Pairing, Backlit Laptop-Style Keys, Apple Pencil Holder, 6.6ft Drop Protection, Lightweight, Black",$69.99,Rating not found,500+ bought in past month,./Amazon_laptop_files/71QnBnTSMjL._AC_UY218_.jpg,"ZAGG Pro Keys Detachable Case and Wireless Keyboard for Apple iPad Pro 10.2"", Multi-Device Bluetooth Pairing, Backlit Laptop-Style Keys, Apple Pencil Holder, 6.6ft Drop Protection, Lightweight, Black"
"StarTech.com 27-inch 16:9 Gold Monitor Privacy Screen, Reversible Filter w/Enhanced Privacy, Security Shield, 30 Deg.",$122.99,Rating not found,List:,./Amazon_laptop_files/71pMcwqNgSL._AC_UY218_.jpg,"StarTech.com 27-inch 16:9 Gold Monitor Privacy Screen, Reversible Filter w/Enhanced Privacy, Security Shield, 30 Deg."
"SAMSUNG 14"" Galaxy Book4 Pro Business Laptop, Wi-Fi PC Computer, Windows 11 PRO, Intel Core 7 Ultra 155H / 16GB / 1TB, 3K AMOLED Touchscreen, 2024 Model, NP944XGK-KG1US, Moonstone Gray","$1,578.05",4.4 out of 5 stars,Past sale not found,./Amazon_laptop_files/6131ZgIFn1L._AC_UY218_.jpg,"SAMSUNG 14"" Galaxy Book4 Pro Business Laptop, Wi-Fi PC Computer, Windows 11 PRO, Intel Core 7 Ultra 155H / 16GB / 1TB, 3K AMOLED Touchscreen, 2024 Model, NP944XGK-KG1US, Moonstone Gray"
"ZAGG 11+ Standard Protective Laptop Sleeve – Fits 11-13 Inch Tablets, Chromebooks, and Laptops, Water-Resistant Neoprene Case with ID Holder",$14.99,Rating not found,Past sale not found,./Amazon_laptop_files/61en4Q2lg1L._AC_UY218_.jpg,"ZAGG 11+ Standard Protective Laptop Sleeve – Fits 11-13 Inch Tablets, Chromebooks, and Laptops, Water-Resistant Neoprene Case with ID Holder"
"MSI Raider GE68HX 16” 144Hz MiniLED UHD+ Gaming Laptop: Intel Core i9-14900HX, NVIDIA Geforce RTX 4080, 64GB DDR5, 2TB NVMe SSD, Thunderbolt 4, Cooler Boost 5, Win 11 Home: Black 14VHG-286US",Price not found,4.5 out of 5 stars,50+ bought in past month,./Amazon_laptop_files/71cit5wE+jL._AC_UY218_.jpg,"MSI Raider GE68HX 16” 144Hz MiniLED UHD+ Gaming Laptop: Intel Core i9-14900HX, NVIDIA Geforce RTX 4080, 64GB DDR5, 2TB NVMe SSD, Thunderbolt 4, Cooler Boost 5, Win 11 Home: Black 14VHG-286US"
"HP 2023 15'' HD IPS Laptop, Windows 11, Intel Pentium 4-Core Processor Up to 2.70GHz, 8GB RAM, 128GB SSD, HDMI, Super-Fast 6th Gen WiFi, Dale Red (Renewed)",$229.50,Rating not found,400+ bought in past month,./Amazon_laptop_files/712VAsKBk-L._AC_UY218_.jpg,"HP 2023 15'' HD IPS Laptop, Windows 11, Intel Pentium 4-Core Processor Up to 2.70GHz, 8GB RAM, 128GB SSD, HDMI, Super-Fast 6th Gen WiFi, Dale Red (Renewed)"
"HP Portable 13.8"" HD IPS Laptop, Intel Celeron N Processor Up to 2.78GHz, 4GB DDR4, 64GB SSD, HDMI, Webcam, Bluetooth, Windows 11, Azure Blue(Renewed)",Price not found,Rating not found,Past sale not found,./Amazon_laptop_files/51vk2xZdk8L._AC_UY218_.jpg,"HP Portable 13.8"" HD IPS Laptop, Intel Celeron N Processor Up to 2.78GHz, 4GB DDR4, 64GB SSD, HDMI, Webcam, Bluetooth, Windows 11, Azure Blue(Renewed)"
"Dell Latitude 3440 Business Laptop (14"" FHD Display, Intel Core i5-1335U, 32GB RAM, 1TB SSD, (Beat i7-1255U)) FHD IR Webcam, Ethernet, Wi-Fi, Long Battery Life, 2024 Latitude 3000, Win 11 Pro, Gray",$899.98,Rating not found,More Buying Choices,./Amazon_laptop_files/71PVEi0TUVL._AC_UY218_.jpg,"Dell Latitude 3440 Business Laptop (14"" FHD Display, Intel Core i5-1335U, 32GB RAM, 1TB SSD, (Beat i7-1255U)) FHD IR Webcam, Ethernet, Wi-Fi, Long Battery Life, 2024 Latitude 3000, Win 11 Pro, Gray"
"Dell Inspiron 5645 Laptop - 16.0 16:10 FHD+ (1920 x 1200) Display, AMD Ryzen 7-8840U, 16GB DDR5 RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, Onsite & Migrate Services - Midnight Blue",$766.00,Rating not found,100+ bought in past month,./Amazon_laptop_files/818WO3r8jhL._AC_UY218_.jpg,"Dell Inspiron 5645 Laptop - 16.0 16:10 FHD+ (1920 x 1200) Display, AMD Ryzen 7-8840U, 16GB DDR5 RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, Onsite & Migrate Services - Midnight Blue"
"Dell Latitude 5330 Business Laptop (13.3"" FHD, Intel 10-Core i7-1265U Vpro, 16GB RAM, 512GB SSD, IST Card) 2 x Thunderbolt 4, Backlit, Fingerprint, Webcam, NFC, 2024 Latitude 5000, Win 11 Pro, Gray",$939.98,4.7 out of 5 stars,50+ bought in past month,./Amazon_laptop_files/71fBX437GTL._AC_UY218_.jpg,"Dell Latitude 5330 Business Laptop (13.3"" FHD, Intel 10-Core i7-1265U Vpro, 16GB RAM, 512GB SSD, IST Card) 2 x Thunderbolt 4, Backlit, Fingerprint, Webcam, NFC, 2024 Latitude 5000, Win 11 Pro, Gray"
ASUS Laptop L210 11.6 in Display Intel N4020 Processor 4GB RAM 64GB eMMC Chrome (Renewed),$139.99,Rating not found,Past sale not found,./Amazon_laptop_files/71PFdmjfUCL._AC_UY218_.jpg,ASUS Laptop L210 11.6 in Display Intel N4020 Processor 4GB RAM 64GB eMMC Chrome (Renewed)
"Lenovo ThinkPad E16 Business Laptop (16"" FHD+ Anti-glare, Intel 13th Gen 10-Core i7-1355U, 40GB RAM, 1TB SSD), Backlit, Fingerprint Reader, FHD Webcam, Ethernet, Wi-Fi 6, Win 11 Pro, Black",$999.98,Rating not found,50+ bought in past month,./Amazon_laptop_files/71fh1YRKIiL._AC_UY218_.jpg,"Lenovo ThinkPad E16 Business Laptop (16"" FHD+ Anti-glare, Intel 13th Gen 10-Core i7-1355U, 40GB RAM, 1TB SSD), Backlit, Fingerprint Reader, FHD Webcam, Ethernet, Wi-Fi 6, Win 11 Pro, Black"
"Targus CityLite Laptop Briefcase Shoulder Messenger Bag for 15.6-Inch Laptop, Black (TBT053US)",$36.98,4.6 out of 5 stars,400+ bought in past month,./Amazon_laptop_files/718IO7MawyL._AC_UY218_.jpg,"Targus CityLite Laptop Briefcase Shoulder Messenger Bag for 15.6-Inch Laptop, Black (TBT053US)"
"Lenovo IdeaPad Slim 3 - Everyday Laptop - Lightweight - Windows 11-15.6"" FHD - 8GB Memory - 256GB Storage - AMD Ryzen 5 7520U - Abyss Blue",Price not found,Rating not found,50+ bought in past month,./Amazon_laptop_files/71m4NotdxJL._AC_UY218_.jpg,"Lenovo IdeaPad Slim 3 - Everyday Laptop - Lightweight - Windows 11-15.6"" FHD - 8GB Memory - 256GB Storage - AMD Ryzen 5 7520U - Abyss Blue"
"ThinkPad E16 Business Laptop (16"" FHD+ Touchscreen, AMD Ryzen 5 7530U, 16GB RAM, 512GB SSD, (8-Core Beat i7-1165G7)), Fingerprint, Backlit, FHD Webcam, WiFi 6, Ethernet, Win 11 Pro, 2024, Black",$699.98,4.6 out of 5 stars,50+ bought in past month,./Amazon_laptop_files/61W0t28YCUL._AC_UY218_.jpg,"ThinkPad E16 Business Laptop (16"" FHD+ Touchscreen, AMD Ryzen 5 7530U, 16GB RAM, 512GB SSD, (8-Core Beat i7-1165G7)), Fingerprint, Backlit, FHD Webcam, WiFi 6, Ethernet, Win 11 Pro, 2024, Black"
"HP Chromebook 14 Laptop, Intel Celeron N4000 Processor, 4 GB RAM, 32 GB eMMC, 14” HD Display, Chrome, Lightweight Computer with Webcam and Dual Mics, Home, School, Music, Movies (14a-na0021nr, 2021)",Price not found,4.4 out of 5 stars,400+ bought in past month,./Amazon_laptop_files/81b6IIclRfS._AC_UY218_.jpg,"HP Chromebook 14 Laptop, Intel Celeron N4000 Processor, 4 GB RAM, 32 GB eMMC, 14” HD Display, Chrome, Lightweight Computer with Webcam and Dual Mics, Home, School, Music, Movies (14a-na0021nr, 2021)"
"acer Chromebook Spin 513 2-in-1 Laptop (13.3"" FHD Touchscreen, Qualcomm CPU, 4GB RAM, 192GB Storage(64GB eMMC+128GB SD Card)) Home & Student, Webcam, Backlit, IST Pen, SD Card Reader, Chrome OS, Gray",$251.98,Rating not found,50+ bought in past month,./Amazon_laptop_files/71v2nFEis+L._AC_UY218_.jpg,"acer Chromebook Spin 513 2-in-1 Laptop (13.3"" FHD Touchscreen, Qualcomm CPU, 4GB RAM, 192GB Storage(64GB eMMC+128GB SD Card)) Home & Student, Webcam, Backlit, IST Pen, SD Card Reader, Chrome OS, Gray"
"HP Laptop 15-dy2718nr, 11th Generation Intel® Core™ i7-1165G7, Intel® Iris® Xe Graphics, 12 GB DDR4, (15-dy2718nr, silver)",Price not found,Rating not found,No featured offers available,./Amazon_laptop_files/716tQiN+dNL._AC_UY218_.jpg,"HP Laptop 15-dy2718nr, 11th Generation Intel® Core™ i7-1165G7, Intel® Iris® Xe Graphics, 12 GB DDR4, (15-dy2718nr, silver)"
"Dell 2024 Newest XPS 15 9530 Business Laptop, Microsoft Office Lifetime License & Win 11 Pro, Intel 10-Core i7-13620H, 15.6"" FHD+, 32GB DDR5, 1TB SSD, Arc Graphics A370M, Wi-Fi 6, Backlit KB",Price not found,4.3 out of 5 stars,50+ bought in past month,./Amazon_laptop_files/71vkuXlxH8L._AC_UY218_.jpg,"Dell 2024 Newest XPS 15 9530 Business Laptop, Microsoft Office Lifetime License & Win 11 Pro, Intel 10-Core i7-13620H, 15.6"" FHD+, 32GB DDR5, 1TB SSD, Arc Graphics A370M, Wi-Fi 6, Backlit KB"
"Samsung 16"" Galaxy Book4 Pro Business Laptop, Wi-Fi PC Computer, Windows 11 PRO, Intel Core 7 Ultra 155H / 32GB / 1TB, 3K AMOLED Touchscreen, 2024 Model, NP964XGK-KG1US, Moonstone Gray","$2,049.99",4.4 out of 5 stars,50+ bought in past month,./Amazon_laptop_files/71ysHVMH4FL._AC_UY218_.jpg,"Samsung 16"" Galaxy Book4 Pro Business Laptop, Wi-Fi PC Computer, Windows 11 PRO, Intel Core 7 Ultra 155H / 32GB / 1TB, 3K AMOLED Touchscreen, 2024 Model, NP964XGK-KG1US, Moonstone Gray"
"SAMSUNG 16” Galaxy Book3 Pro Laptop PC Computer, 13th Gen Intel Core i7-1360P Processor / 16GB / 1TB, 3K AMOLED Screen, 120hz, Fingerprint Reader, FHD Webcam, 2023 Model, NP960XFG-KC1US, Graphite",Price not found,4.3 out of 5 stars,No featured offers available,./Amazon_laptop_files/61oTh3Oun5L._AC_UY218_.jpg,"SAMSUNG 16” Galaxy Book3 Pro Laptop PC Computer, 13th Gen Intel Core i7-1360P Processor / 16GB / 1TB, 3K AMOLED Screen, 120hz, Fingerprint Reader, FHD Webcam, 2023 Model, NP960XFG-KC1US, Graphite"
"Kensington MP15 MacBook Magnetic Privacy Screen for 15"" MacBook Air (2023 and Newer)",$39.72,4.3 out of 5 stars,List:,./Amazon_laptop_files/71ZJJOrS8BL._AC_UY218_.jpg,"Kensington MP15 MacBook Magnetic Privacy Screen for 15"" MacBook Air (2023 and Newer)"
"Jeep JS011B Travel Backpack, Navy, 15.6"" Laptop",$47.99,Rating not found,List:,./Amazon_laptop_files/71P-BDIcpYL._AC_UY218_.jpg,"Jeep JS011B Travel Backpack, Navy, 15.6"" Laptop"
"UBeesize 10.5in Laptop Ring Light with Stand and Phone Holder for Desk, Zoom Lighting for Computer, Video Recording, Streaming, Video Conference, Video Calls",$35.86,4.5 out of 5 stars,300+ bought in past month,./Amazon_laptop_files/61VUD60G-aL._AC_UY218_.jpg,"UBeesize 10.5in Laptop Ring Light with Stand and Phone Holder for Desk, Zoom Lighting for Computer, Video Recording, Streaming, Video Conference, Video Calls"
"ZEISS Pre-Moistened Wipes, Screen Cleaner, 120 Count",$15.94,4.3 out of 5 stars,1K+ bought in past month,./Amazon_laptop_files/71w8GFxKp1L._AC_UY218_.jpg,"ZEISS Pre-Moistened Wipes, Screen Cleaner, 120 Count"
"ASUS ROG Strix G17 (2022) Gaming Laptop, 17.3” 144Hz IPS FHD Display, NVIDIA GeForce RTX 3050 GPU, AMD Ryzen 7 6800H Processor, 16GB DDR5 RAM, 512GB SSD, RGB Keyboard, Windows 11, G713RC-RS73",Price not found,Rating not found,No featured offers available,./Amazon_laptop_files/61xgnFpURwL._AC_UY218_.jpg,"ASUS ROG Strix G17 (2022) Gaming Laptop, 17.3” 144Hz IPS FHD Display, NVIDIA GeForce RTX 3050 GPU, AMD Ryzen 7 6800H Processor, 16GB DDR5 RAM, 512GB SSD, RGB Keyboard, Windows 11, G713RC-RS73"
"ASUS ExpertBook B5 Thin & Light Flip Business Laptop, 13.3” FHD OLED, Intel Core i7-1165G7, 1TB SSD, 16GB RAM, all day battery, Enterprise-grade video conference, NumberPad, Win 10 Pro, B5302FEA-XH75T",$949.98,4.3 out of 5 stars,Past sale not found,./Amazon_laptop_files/511c99XFB0L._AC_UY218_.jpg,"ASUS ExpertBook B5 Thin & Light Flip Business Laptop, 13.3” FHD OLED, Intel Core i7-1165G7, 1TB SSD, 16GB RAM, all day battery, Enterprise-grade video conference, NumberPad, Win 10 Pro, B5302FEA-XH75T"
"Lenovo Ideapad 1 Laptop, 15.6"" HD Screen, AMD Athlon Silver 3050U, 8GB RAM, 256GB PCIe SSD + 128GB eMMC, Webcam, HDMI, Type-C, Wi-Fi 6, Media Card Reader, Windows 11 Home",$288.99,Rating not found,More Buying Choices,./Amazon_laptop_files/61iPwyl3XeL._AC_UY218_.jpg,"Lenovo Ideapad 1 Laptop, 15.6"" HD Screen, AMD Athlon Silver 3050U, 8GB RAM, 256GB PCIe SSD + 128GB eMMC, Webcam, HDMI, Type-C, Wi-Fi 6, Media Card Reader, Windows 11 Home"
"Lenovo Gen 12 ThinkPad X1 Carbon Laptop with Intel Ultra 7 165U vPro Processor, 14"" WUXGA 100% sRGB Touchscreen, 32GB 6400MHz RAM, 1TB Gen4 Performance SSD, FHD+ IR+ RGB Camera, and Windows 11 Pro",Price not found,Rating not found,50+ bought in past month,./Amazon_laptop_files/61GSvJjxBuL._AC_UY218_.jpg,"Lenovo Gen 12 ThinkPad X1 Carbon Laptop with Intel Ultra 7 165U vPro Processor, 14"" WUXGA 100% sRGB Touchscreen, 32GB 6400MHz RAM, 1TB Gen4 Performance SSD, FHD+ IR+ RGB Camera, and Windows 11 Pro"
"ASUS TUF Gaming F15 Gaming Laptop, 15.6” 144Hz FHD Display, Intel Core i5-11400H Processor, GeForce RTX 2050, 8GB DDR4 RAM, 512GB PCIe SSD Gen 3, Wi-Fi 6, Windows 11, FX506HF-ES51,Graphite Black",Price not found,4.4 out of 5 stars,No featured offers available,./Amazon_laptop_files/91aWfctUptL._AC_UY218_.jpg,"ASUS TUF Gaming F15 Gaming Laptop, 15.6” 144Hz FHD Display, Intel Core i5-11400H Processor, GeForce RTX 2050, 8GB DDR4 RAM, 512GB PCIe SSD Gen 3, Wi-Fi 6, Windows 11, FX506HF-ES51,Graphite Black"
"Lenovo ThinkBook 14 Gen 6 Business Laptop (14"" FHD+ Touchscreen, AMD Ryzen 7 7730U, 16GB RAM, 512GB SSD, 8-Core > i7-1350U), Fingerprint, Backlit Keyboard, 1080p IR Webcam, Win 11 Pro, Grey - 2024",Price not found,Rating not found,No featured offers available,./Amazon_laptop_files/61yWy+10p6L._AC_UY218_.jpg,"Lenovo ThinkBook 14 Gen 6 Business Laptop (14"" FHD+ Touchscreen, AMD Ryzen 7 7730U, 16GB RAM, 512GB SSD, 8-Core > i7-1350U), Fingerprint, Backlit Keyboard, 1080p IR Webcam, Win 11 Pro, Grey - 2024"
"Samsung Galaxy Chromebook 2 XE530QDA-KA1US 13.3"" Touchscreen 2 in 1 Chromebook - Full HD - 1920 x 1080 - Intel Core i3 (10th Gen) i3-10110U 2.10 GHz - 8 GB RAM - Fiesta Red",Price not found,Rating not found,100+ bought in past month,./Amazon_laptop_files/71KVH4q7AqS._AC_UY218_.jpg,"Samsung Galaxy Chromebook 2 XE530QDA-KA1US 13.3"" Touchscreen 2 in 1 Chromebook - Full HD - 1920 x 1080 - Intel Core i3 (10th Gen) i3-10110U 2.10 GHz - 8 GB RAM - Fiesta Red"
